abnehmen D. | A.
anbieten D. | A.
beantworten D. | A.
beweisen D. | A.
bieten D. | A.
bringen D. | A.
empfehlen D. | A.
entziehen A. | D.
erklären D. | A.
erzählen D. | A.
geben D. | A.
glauben D. | A.
holen D. | A.
kaufen A. | D.
kochen A. | D. 
leihen A. | D.
mitbringen A. | D.
mitteilen D. | A.
nehmen D. | A.
reichen D. | A.
reservieren D. | A.
schenken D. | A.
schreiben D. | A.
senden D. | A.
übelnehmen D. | A. 
überweisen D. | A.
verbieten D. | A.
verkaufen A. | D. 
verraten A. | D. 
verschreiben D. | A.
versprechen D. | A.
verzeihen D. | A.
vorlesen D. | A.
vorschlagen D. | A.
vorstellen D. | A.
wünschen D. | A.
zeigen D. | A.
